self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.09,50,0.2764115,0.8494,0.936968484,0.7492,0.832629473,0.0504,,,,,,,,,
0.06,37,0.386214063,0.8379,0.860773009,0.8062,0.832593205,0.1304,,,,,,,,,
0.03,12,0.704883963,0.8183,0.77191184,0.9036,0.832580853,0.267,,,,,,,,,
0.1,8,0.585729131,0.8253,0.799484441,0.8684,0.832518455,0.2178,,,,,,,,,
0.02,35,0.720124697,0.8183,0.772284003,0.9028,0.832457354,0.2662,,,,,,,,,
0.05,35,0.382403879,0.8353,0.847173328,0.8182,0.832434632,0.1476,,,,,,,,,
0.08,11,0.501905092,0.8288,0.815184049,0.8504,0.832419734,0.1928,,,,,,,,,
0.01,52,0.491167302,0.8288,0.815304948,0.8502,0.83238692,0.1926,,,,,,,,,
0.03,30,0.455490128,0.831,0.825659189,0.8392,0.832374529,0.1772,,,,,,,,,
0.07,35,0.284031867,0.8432,0.894120349,0.7786,0.832371178,0.0922,,,,,,,,,
0.01,56,0.452026325,0.8306,0.823990592,0.8408,0.832310434,0.1796,,,,,,,,,
0.05,56,0.328022168,0.847,0.920912179,0.7592,0.832273624,0.0652,,,,,,,,,
0.07,45,0.326983027,0.8427,0.891836268,0.78,0.832177531,0.0946,,,,,,,,,
0.06,41,0.379286457,0.8356,0.850020859,0.815,0.832142128,0.1438,,,,,,,,,
0.04,32,0.390024247,0.8332,0.837520259,0.8268,0.832125604,0.1604,,,,,,,,,
0.06,9,0.602355386,0.825,0.799594395,0.8674,0.832118189,0.2174,,,,,,,,,
0.02,59,0.410114306,0.8344,0.84375,0.8208,0.832116788,0.152,,,,,,,,,
0.09,21,0.391409768,0.8381,0.864096489,0.8024,0.832106191,0.1262,,,,,,,,,
0.07,6,0.741600277,0.8166,0.767308342,0.9088,0.832082036,0.2756,,,,,,,,,
0.05,33,0.51091098,0.8308,0.825847124,0.8384,0.832076221,0.1768,,,,,,,,,
0.05,23,0.426394181,0.8321,0.83229938,0.8318,0.832049615,0.1676,,,,,,,,,
0.05,43,0.497402148,0.8344,0.844174557,0.8202,0.832014607,0.1514,,,,,,,,,
0.03,78,0.377900935,0.8389,0.8695747,0.7974,0.831924883,0.1196,,,,,,,,,
0.11,8,0.526498095,0.8275,0.811252614,0.8536,0.83188773,0.1986,,,,,,,,,
0.05,21,0.535157603,0.8285,0.816657027,0.8472,0.831648179,0.1902,,,,,,,,,
0.04,64,0.429511604,0.8369,0.859398336,0.8056,0.83163002,0.1318,,,,,,,,,
0.08,40,0.408036024,0.8391,0.872555482,0.7942,0.831535965,0.116,,,,,,,,,
0.09,12,0.551091098,0.826,0.805930931,0.8588,0.831525949,0.2068,,,,,,,,,
0.05,66,0.307585729,0.8429,0.896599584,0.7752,0.831492009,0.0894,,,,,,,,,
0.02,70,0.34014548,0.8356,0.853114478,0.8108,0.831419196,0.1396,,,,,,,,,
0.19,1,0.811915483,0.8126,0.755642787,0.924,0.83138384,0.2988,,,,,,,,,
0.04,67,0.394873571,0.8387,0.87113741,0.795,0.831329081,0.1176,,,,,,,,,
