radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.03,210,0,0.5,0,0,0,0,,,,,,,,,
0.03,220,0,0.5,0,0,0,0,,,,,,,,,
0.03,230,0,0.5,0,0,0,0,,,,,,,,,
0.03,240,0,0.5,0,0,0,0,,,,,,,,,
0.03,250,0,0.5,0,0,0,0,,,,,,,,,
0.03,260,0,0.5,0,0,0,0,,,,,,,,,
0.03,270,0,0.5,0,0,0,0,,,,,,,,,
0.03,280,0,0.5,0,0,0,0,,,,,,,,,
0.03,290,0,0.5,0,0,0,0,,,,,,,,,
0.03,300,0,0.5,0,0,0,0,,,,,,,,,
0.03,310,0,0.5,0,0,0,0,,,,,,,,,
0.03,320,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.03,330,0,0.5,0,0,0,0,,,,,,,,,
0.03,340,0,0.5,0,0,0,0,,,,,,,,,
0.03,350,0,0.5,0,0,0,0,,,,,,,,,
0.03,370,0,0.5,0,0,0,0,,,,,,,,,
0.03,380,0,0.5,0,0,0,0,,,,,,,,,
0.03,390,0,0.5,0,0,0,0,,,,,,,,,
0.03,410,0,0.5,0,0,0,0,,,,,,,,,
0.03,420,0,0.4998,0,0,0,0.0004,,,,,,,,,
0.03,430,0,0.5,0,0,0,0,,,,,,,,,
0.03,440,0,0.5,0,0,0,0,,,,,,,,,
0.03,450,0,0.5,0,0,0,0,,,,,,,,,
0.03,460,0,0.5,0,0,0,0,,,,,,,,,
0.03,470,0,0.5,0,0,0,0,,,,,,,,,
0.03,490,0,0.5,0,0,0,0,,,,,,,,,
0.04,10,0,0.5,0,0,0,0,,,,,,,,,
0.04,20,0,0.5,0,0,0,0,,,,,,,,,
0.04,30,0,0.5,0,0,0,0,,,,,,,,,
0.04,40,0,0.5,0,0,0,0,,,,,,,,,
0.04,60,0,0.5,0,0,0,0,,,,,,,,,
0.04,70,0,0.5,0,0,0,0,,,,,,,,,
0.04,80,0,0.5,0,0,0,0,,,,,,,,,
0.04,90,0,0.5,0,0,0,0,,,,,,,,,
0.04,100,0,0.5,0,0,0,0,,,,,,,,,
0.04,110,0,0.5,0,0,0,0,,,,,,,,,
0.04,140,0,0.5,0,0,0,0,,,,,,,,,
0.04,150,0,0.5,0,0,0,0,,,,,,,,,
0.04,160,0,0.5,0,0,0,0,,,,,,,,,
0.04,170,0,0.5,0,0,0,0,,,,,,,,,
0.04,180,0,0.5,0,0,0,0,,,,,,,,,
0.04,190,0,0.5,0,0,0,0,,,,,,,,,
0.04,200,0,0.5,0,0,0,0,,,,,,,,,
0.04,210,0,0.5,0,0,0,0,,,,,,,,,
0.04,230,0,0.5,0,0,0,0,,,,,,,,,
0.04,240,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.04,250,0,0.5,0,0,0,0,,,,,,,,,
0.04,260,0,0.5,0,0,0,0,,,,,,,,,
0.04,270,0,0.5,0,0,0,0,,,,,,,,,
0.04,290,0,0.5,0,0,0,0,,,,,,,,,
