self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,,
0.18,8,0.793348007,0.6254,0.605413584,0.7202,0.657837048,0.4694,,,,,,,,,,
0.15,7,0.780386403,0.6371,0.622388859,0.6972,0.657673804,0.423,,,,,,,,,,
0.02,9,0.969674737,0.5018,0.500942803,0.9564,0.657500344,0.9528,,,,,,,,,,
0.17,10,0.760821717,0.6421,0.630390897,0.687,0.657479185,0.4028,,,,,,,,,,
0.05,4,0.987038396,0.4903,0.495085622,0.9772,0.657206268,0.9966,,,,,,,,,,
0.1,21,0.731474688,0.6445,0.634568821,0.6814,0.657151124,0.3924,,,,,,,,,,
0.13,2,0.980190756,0.4989,0.499427858,0.9602,0.657086156,0.9624,,,,,,,,,,
0.02,5,0.974810467,0.5057,0.503031592,0.9458,0.656759947,0.9344,,,,,,,,,,
0.08,3,0.979701639,0.4904,0.495119967,0.974,0.656511189,0.9932,,,,,,,,,,
0.11,17,0.72951822,0.6587,0.661510279,0.65,0.65570463,0.3326,,,,,,,,,,
0.19,26,0.575446319,0.7115,0.813705132,0.5486,0.655357783,0.1256,,,,,,,,,,
0.16,16,0.650281242,0.6722,0.691248334,0.6224,0.655019996,0.278,,,,,,,,,,
0.12,2,0.977256053,0.5012,0.500634652,0.9466,0.654905217,0.9442,,,,,,,,,,
0.29,12,0.571777941,0.6809,0.713174641,0.6052,0.654765769,0.2434,,,,,,,,,,
0.01,12,0.969919296,0.5018,0.500954806,0.9444,0.654651324,0.9408,,,,,,,,,,
0.02,8,0.966006359,0.4981,0.499003043,0.951,0.654552963,0.9548,,,,,,,,,,
0.25,3,0.767913915,0.6397,0.62875576,0.6822,0.654388489,0.4028,,,,,,,,,,
0.01,10,0.968207386,0.5043,0.50230316,0.9378,0.654203,0.9292,,,,,,,,,,
0.2,6,0.733186598,0.654,0.654185022,0.6534,0.653792275,0.3454,,,,,,,,,,
0.14,2,0.971875764,0.5025,0.501335042,0.9388,0.653623895,0.9338,,,,,,,,,,
0.02,13,0.960136953,0.4911,0.495406215,0.9598,0.653503098,0.9776,,,,,,,,,,
0.03,10,0.970652971,0.4938,0.496773522,0.9546,0.653477547,0.967,,,,,,,,,,
0.05,5,0.959158719,0.5061,0.503310539,0.9274,0.652501231,0.9152,,,,,,,,,,
0.21,9,0.681340181,0.6633,0.674130945,0.6322,0.652492517,0.3056,,,,,,,,,,
0.03,8,0.965517241,0.4975,0.498675146,0.941,0.651887773,0.946,,,,,,,,,,
0.02,7,0.960870629,0.5065,0.503546873,0.9228,0.651556874,0.9098,,,,,,,,,,
0.17,5,0.743947175,0.6359,0.62470178,0.6808,0.651545602,0.409,,,,,,,,,,
0.19,1,0.959403277,0.5165,0.509302063,0.9034,0.651380777,0.8704,,,,,,,,,,
0.24,7,0.696747371,0.6518,0.652287319,0.6502,0.651241987,0.3466,,,,,,,,,,
0.03,6,0.966984593,0.4903,0.494948443,0.9504,0.650914321,0.9698,,,,,,,,,,
0.27,14,0.32697481,0.7253,0.892919428,0.512,0.650819881,0.0614,,,,,,,,,,
0.05,6,0.958180484,0.4943,0.496990178,0.9412,0.65049416,0.9526,,,,,,,,,,
0.02,11,0.950843727,0.51,0.505548158,0.9112,0.650299743,0.8912,,,,,,,,,,
0.18,11,0.749572022,0.6367,0.626879525,0.6754,0.650235872,0.402,,,,,,,,,,
0.16,10,0.722426021,0.6466,0.64372549,0.6566,0.65009901,0.3634,,,,,,,,,,
0.01,64,0.817803864,0.5833,0.560283688,0.7742,0.650096566,0.6076,,,,,,,,,,
0.24,5,0.465884079,0.7017,0.786099291,0.5542,0.650087977,0.1508,,,,,,,,,,
0.02,12,0.96233798,0.4949,0.497295004,0.9376,0.649892563,0.9478,,,,,,,,,,
0.18,1,0.961604304,0.5143,0.508061788,0.9012,0.649794506,0.8726,,,,,,,,,,
0.21,1,0.955734899,0.5155,0.508777891,0.8984,0.649649288,0.8674,,,,,,,,,,
0.01,16,0.956713133,0.4986,0.49924812,0.9296,0.649615653,0.9324,,,,,,,,,,
0.15,14,0.750794815,0.6371,0.627963412,0.6728,0.64960896,0.3986,,,,,,,,,,
0.04,11,0.953044754,0.5059,0.503242827,0.9156,0.649499894,0.9038,,,,,,,,,,
0.2,1,0.946441673,0.5261,0.515318699,0.878,0.649456321,0.8258,,,,,,,,,,
0.22,1,0.94179506,0.5226,0.513133426,0.883,0.649073802,0.8378,,,,,,,,,,
0.35,6,0.378576669,0.7246,0.894866385,0.509,0.648903621,0.0598,,,,,,,,,,
0.16,2,0.959892394,0.5104,0.505813953,0.9048,0.648881239,0.884,,,,,,,,,,
0.18,13,0.695524578,0.6527,0.65629478,0.6412,0.648659585,0.3358,,,,,,,,,,
0.03,9,0.945707997,0.5238,0.513934426,0.8778,0.648301329,0.8302,,,,,,,,,,
0.15,20,0.606749817,0.6852,0.73443038,0.5802,0.648268156,0.2098,,,,,,,,,,
0.14,20,0.641966251,0.6676,0.688484031,0.6122,0.648105018,0.277,,,,,,,,,,
0.02,92,0.793103448,0.5908,0.56851796,0.7534,0.648030277,0.5718,,,,,,,,,,
0.08,4,0.959403277,0.4867,0.49305918,0.9448,0.647966532,0.9714,,,,,,,,,,
0.01,55,0.842748838,0.576,0.553977273,0.78,0.647840532,0.628,,,,,,,,,,
0.18,14,0.572511617,0.6791,0.718254935,0.5894,0.647478853,0.2312,,,,,,,,,,
0.04,10,0.94179506,0.5076,0.504239179,0.904,0.647378975,0.8888,,,,,,,,,,
0.15,19,0.627537295,0.6845,0.733840304,0.579,0.647288988,0.21,,,,,,,,,,
0.39,1,0.697236488,0.6433,0.640132994,0.6546,0.647285672,0.368,,,,,,,,,,
0.06,7,0.944974321,0.4975,0.49864704,0.9214,0.647096004,0.9264,,,,,,,,,,
0.01,28,0.942039618,0.5098,0.505520505,0.8974,0.646728164,0.8778,,,,,,,,,,
0.2,9,0.708241624,0.6525,0.65770424,0.636,0.646670056,0.331,,,,,,,,,,
0.03,14,0.93837124,0.5124,0.507050262,0.8918,0.646512977,0.867,,,,,,,,,,
0.18,5,0.750550257,0.6331,0.623860041,0.6704,0.646293261,0.4042,,,,,,,,,,
0.15,2,0.95206652,0.506,0.503345974,0.9026,0.646283832,0.8906,,,,,,,,,,
0.03,13,0.934702861,0.4981,0.498964352,0.9154,0.645875961,0.9192,,,,,,,,,,
0.17,14,0.74663732,0.633,0.624020888,0.6692,0.64582127,0.4032,,,,,,,,,,
0.12,7,0.758131573,0.6128,0.5951417,0.7056,0.64568082,0.48,,,,,,,,,,
