self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.08,2,0.989442428,0.4991,0.4995455,0.9892,0.663848064,0.991,,,,,,,,,
0.15,1,0.952985813,0.5041,0.502103211,0.9788,0.663728216,0.9706,,,,,,,,,
0.01,8,0.993236556,0.498,0.498991935,0.99,0.663538874,0.994,,,,,,,,,
0.05,3,0.999670076,0.4966,0.49829283,0.9924,0.663457682,0.9992,,,,,,,,,
0.25,3,0.423952491,0.6576,0.652358855,0.6748,0.663389697,0.3596,,,,,,,,,
0.01,6,0.996370835,0.4969,0.498441114,0.9912,0.663320618,0.9974,,,,,,,,,
0.12,1,0.981194325,0.5004,0.500203376,0.9838,0.663206148,0.983,,,,,,,,,
0.06,3,0.999505114,0.4962,0.498090836,0.9914,0.66305511,0.999,,,,,,,,,
0.01,10,0.997525569,0.4962,0.498088531,0.9902,0.662784471,0.9978,,,,,,,,,
0.04,3,1,0.4953,0.497638903,0.9906,0.662475757,1,,,,,,,,,
0.22,4,0.418178819,0.6587,0.655253375,0.6698,0.66244684,0.3524,,,,,,,,,
0.14,7,0.447047179,0.6403,0.624137321,0.7054,0.662285231,0.4248,,,,,,,,,
0.34,5,0.200758825,0.7367,0.923434705,0.5162,0.662219371,0.0428,,,,,,,,,
0.14,1,0.945232597,0.5034,0.501754024,0.9726,0.661992921,0.9658,,,,,,,,,
0.19,5,0.42147806,0.6555,0.650299633,0.6728,0.661358498,0.3618,,,,,,,,,
0.16,17,0.333388321,0.6973,0.750698856,0.5908,0.661219922,0.1962,,,,,,,,,
0.11,2,0.933685252,0.5036,0.501866058,0.9682,0.661067868,0.961,,,,,,,,,
0.13,1,0.99356648,0.4958,0.497873633,0.9834,0.661064802,0.9918,,,,,,,,,
0.31,3,0.346090399,0.6912,0.732603406,0.6022,0.661031833,0.2198,,,,,,,,,
0.22,15,0.353183768,0.6753,0.691752352,0.6324,0.660746004,0.2818,,,,,,,,,
0.12,6,0.537611349,0.6072,0.581533313,0.7646,0.660618628,0.5502,,,,,,,,,
0.01,11,0.927251732,0.505,0.502609059,0.9632,0.660540392,0.9532,,,,,,,,,
0.38,3,0.239194985,0.7325,0.904066736,0.5202,0.660403707,0.0552,,,,,,,,,
0.16,1,0.899373144,0.5063,0.503307087,0.9588,0.66010327,0.9462,,,,,,,,,
0.03,4,0.991916859,0.4941,0.497015076,0.9824,0.660081973,0.9942,,,,,,,,,
0.24,3,0.407126361,0.6661,0.672338659,0.648,0.659945005,0.3158,,,,,,,,,
0.2,8,0.399373144,0.6541,0.649004061,0.6712,0.659915446,0.363,,,,,,,,,
0.2,13,0.412900033,0.6546,0.65003882,0.6698,0.659771474,0.3606,,,,,,,,,
0.17,9,0.417189047,0.6504,0.642640364,0.6776,0.659657321,0.3768,,,,,,,,,
0.2,4,0.440778621,0.6428,0.629959956,0.6922,0.659615018,0.4066,,,,,,,,,
0.02,7,0.982184098,0.4942,0.497047445,0.9764,0.658750506,0.988,,,,,,,,,
0.07,3,0.998020455,0.492,0.495953055,0.9804,0.658693899,0.9964,,,,,,,,,
0.02,8,0.952985813,0.498,0.498969709,0.9686,0.658642731,0.9726,,,,,,,,,
0.22,12,0.281920158,0.7191,0.839479393,0.5418,0.658563267,0.1036,,,,,,,,,
0.27,5,0.262619597,0.7144,0.818668252,0.5508,0.658536585,0.122,,,,,,,,,
0.02,10,0.9486968,0.4985,0.499224004,0.965,0.658029322,0.968,,,,,,,,,
0.03,6,0.998515341,0.4908,0.495348837,0.9798,0.65802552,0.9982,,,,,,,,,
0.01,5,0.968822171,0.4946,0.497236438,0.9716,0.657819905,0.9824,,,,,,,,,
0.17,5,0.431705708,0.646,0.636652939,0.6802,0.65770644,0.3882,,,,,,,,,
0.17,14,0.370834708,0.6718,0.68722755,0.6306,0.657697121,0.287,,,,,,,,,
0.19,15,0.392939624,0.6528,0.648638132,0.6668,0.657593688,0.3612,,,,,,,,,
0.04,4,0.980039591,0.493,0.496428571,0.973,0.657432432,0.987,,,,,,,,,
0.08,5,0.526723854,0.6038,0.579067642,0.7602,0.657384988,0.5526,,,,,,,,,
0.32,2,0.392444738,0.648,0.640417457,0.675,0.657254138,0.379,,,,,,,,,
0.17,1,0.844935665,0.511,0.505935679,0.9376,0.657226973,0.9156,,,,,,,,,
0.21,13,0.391784889,0.6543,0.651780445,0.6626,0.657145691,0.354,,,,,,,,,
0.08,3,0.970636754,0.4941,0.496974049,0.969,0.656993694,0.9808,,,,,,,,,
0.18,1,0.811778291,0.5149,0.508157232,0.9282,0.656760773,0.8984,,,,,,,,,
0.14,17,0.392444738,0.6648,0.673182009,0.6406,0.656486985,0.311,,,,,,,,,
0.02,11,0.894589244,0.5037,0.501958294,0.9484,0.656468471,0.941,,,,,,,,,
0.02,12,0.878917849,0.5049,0.502604997,0.9454,0.656299896,0.9356,,,,,,,,,
0.3,10,0.292312768,0.7231,0.865378316,0.5284,0.656152986,0.0822,,,,,,,,,
0.02,5,0.880072583,0.5023,0.501216288,0.9478,0.655690073,0.9432,,,,,,,,,
0.04,10,0.973606071,0.4958,0.497822029,0.96,0.655648136,0.9684,,,,,,,,,
0.39,1,0.391784889,0.6394,0.627702455,0.6852,0.655192197,0.4064,,,,,,,,,
0.04,11,0.924117453,0.4962,0.498022481,0.957,0.655120482,0.9646,,,,,,,,,
0.02,6,0.922962719,0.5017,0.500900519,0.9456,0.654892998,0.9422,,,,,,,,,
0.04,9,0.859122402,0.5069,0.50371567,0.9354,0.654812741,0.9216,,,,,,,,,
0.22,5,0.404322006,0.6476,0.641923077,0.6676,0.654509804,0.3724,,,,,,,,,
0.16,9,0.449026724,0.63,0.614035088,0.7,0.654205607,0.44,,,,,,,,,
0.01,9,0.716595183,0.5225,0.512788451,0.9022,0.65391027,0.8572,,,,,,,,,
0.12,2,0.841636424,0.5086,0.504674929,0.9284,0.653894915,0.9112,,,,,,,,,
0.21,8,0.412405147,0.6427,0.634091336,0.6748,0.653812615,0.3894,,,,,,,,,
0.23,12,0.310293632,0.6913,0.744191984,0.583,0.653807334,0.2004,,,,,,,,,
0.03,10,0.874298911,0.5047,0.502528241,0.9342,0.653515215,0.9248,,,,,,,,,
0.05,6,0.967832399,0.4928,0.496255461,0.9542,0.652935541,0.9686,,,,,,,,,
0.28,10,0.37099967,0.6613,0.669610936,0.6368,0.652793439,0.3142,,,,,,,,,
0.2,11,0.385681293,0.6526,0.652538984,0.6528,0.652669466,0.3476,,,,,,,,,
0.34,7,0.243483999,0.7248,0.884931507,0.5168,0.652525253,0.0672,,,,,,,,,
0.09,3,0.969317057,0.4896,0.494632535,0.9584,0.652505447,0.9792,,,,,,,,,
0.44,1,0.372979215,0.6454,0.639700231,0.6658,0.65248922,0.375,,,,,,,,,
0.03,9,0.946882217,0.4929,0.496297069,0.9516,0.652361692,0.9658,,,,,,,,,
0.16,15,0.401187727,0.6444,0.638155377,0.667,0.652258948,0.3782,,,,,,,,,
0.18,12,0.366710657,0.6681,0.685172946,0.622,0.652059964,0.2858,,,,,,,,,
0.2,5,0.400857803,0.64,0.631037065,0.6742,0.651904854,0.3942,,,,,,,,,
0.01,19,0.868525239,0.5002,0.500106883,0.9358,0.651852884,0.9354,,,,,,,,,
0.14,2,0.853678654,0.5038,0.50205361,0.929,0.651838338,0.9214,,,,,,,,,
0.02,73,0.431705708,0.6179,0.598727181,0.715,0.651718166,0.4792,,,,,,,,,
0.19,1,0.759320356,0.5171,0.509646846,0.9034,0.651662699,0.8692,,,,,,,,,
0.01,15,0.629330254,0.5309,0.51826457,0.8768,0.65145999,0.815,,,,,,,,,
0.13,2,0.778620917,0.5127,0.507075209,0.9102,0.651305903,0.8848,,,,,,,,,
0.34,2,0.359617288,0.6656,0.680549498,0.6242,0.651157939,0.293,,,,,,,,,
0.01,13,0.96073903,0.4881,0.49383739,0.9536,0.65069942,0.9774,,,,,,,,,
0.05,4,0.955460244,0.4904,0.494985374,0.9476,0.650288224,0.9668,,,,,,,,,
0.25,8,0.350709337,0.6758,0.705854801,0.6028,0.650269687,0.2512,,,,,,,,,
0.21,9,0.339491917,0.6744,0.702320186,0.6054,0.650268528,0.2566,,,,,,,,,
0.02,9,0.731441768,0.5199,0.511406626,0.8922,0.650149384,0.8524,,,,,,,,,
0.05,10,0.966677664,0.4877,0.493617021,0.9512,0.649948753,0.9758,,,,,,,,,
0.15,2,0.771527549,0.5103,0.5057305,0.909,0.649889183,0.8884,,,,,,,,,
0.6,1,0.196964698,0.7233,0.885398688,0.513,0.649613777,0.0664,,,,,,,,,
0.03,7,0.885681293,0.4979,0.498873995,0.9304,0.649493892,0.9346,,,,,,,,,
0.14,20,0.316397229,0.6928,0.756519425,0.5686,0.649234985,0.183,,,,,,,,,
0.15,12,0.412405147,0.6388,0.631091802,0.6682,0.64911599,0.3906,,,,,,,,,
0.22,14,0.241834378,0.7089,0.817766961,0.5376,0.648726922,0.1198,,,,,,,,,
0.47,9,0.15061036,0.7333,0.950212273,0.4924,0.64866289,0.0258,,,,,,,,,
0.04,6,0.817551963,0.505,0.502755732,0.9122,0.648237635,0.9022,,,,,,,,,
0.01,24,0.921972946,0.4919,0.4957102,0.936,0.64815456,0.9522,,,,,,,,,
0.07,4,0.964698119,0.4879,0.493665585,0.943,0.648065425,0.9672,,,,,,,,,
0.03,5,0.85895744,0.4991,0.499512512,0.9222,0.648021924,0.924,,,,,,,,,
0.04,7,0.775816562,0.5161,0.509203155,0.8908,0.647995926,0.8586,,,,,,,,,
0.21,1,0.646321346,0.5281,0.51671624,0.8686,0.647967176,0.8124,,,,,,,,,
0.02,13,0.698944243,0.5193,0.511152202,0.8846,0.647916209,0.846,,,,,,,,,
0.16,24,0.350379413,0.6683,0.690427699,0.6102,0.647839473,0.2736,,,,,,,,,
0.19,7,0.404816892,0.6356,0.626823793,0.6702,0.647786584,0.399,,,,,,,,,
0.2,1,0.656713956,0.523,0.51347551,0.8764,0.647554308,0.8304,,,,,,,,,
0.37,11,0.24282415,0.7246,0.899359886,0.5058,0.647465438,0.0566,,,,,,,,,
0.19,4,0.440118773,0.6352,0.626924521,0.6678,0.646717025,0.3974,,,,,,,,,
0.21,3,0.414054767,0.6332,0.623837858,0.671,0.646560031,0.4046,,,,,,,,,
0.06,5,0.820026394,0.5107,0.506049983,0.895,0.646536155,0.8736,,,,,,,,,
0.14,14,0.421643022,0.6301,0.619030192,0.6766,0.646536073,0.4164,,,,,,,,,
0.13,6,0.478719894,0.5955,0.574157478,0.7394,0.646385174,0.5484,,,,,,,,,
0.05,18,0.553282745,0.5743,0.552807392,0.7778,0.646281678,0.6292,,,,,,,,,
0.04,8,0.735070934,0.5148,0.508497933,0.8856,0.646046104,0.856,,,,,,,,,
0.12,23,0.395743979,0.6504,0.654541718,0.637,0.645651733,0.3362,,,,,,,,,
0.01,18,0.723193665,0.5227,0.513401818,0.8696,0.645630708,0.8242,,,,,,,,,
0.01,23,0.862421643,0.4975,0.498637305,0.9148,0.645452621,0.9198,,,,,,,,,
0.04,5,0.580666447,0.5332,0.52033317,0.8496,0.645396536,0.7832,,,,,,,,,
0.07,21,0.574067964,0.581,0.559419014,0.7626,0.645396073,0.6006,,,,,,,,,
0.11,17,0.372154404,0.6644,0.684222322,0.6106,0.645318115,0.2818,,,,,,,,,
0.02,18,0.834048169,0.5039,0.502170284,0.9024,0.645262782,0.8946,,,,,,,,,
0.02,17,0.754206532,0.519,0.511100724,0.8748,0.64522791,0.8368,,,,,,,,,
0.18,3,0.674859782,0.5641,0.544237405,0.7886,0.644017967,0.6604,,,,,,,,,
0.16,2,0.779940614,0.5066,0.503725446,0.8924,0.643960167,0.8792,,,,,,,,,
0.22,1,0.547344111,0.5328,0.520206999,0.8444,0.64379384,0.7788,,,,,,,,,
0.06,4,0.98960739,0.4778,0.488509317,0.9438,0.643792633,0.9882,,,,,,,,,
0.45,3,0.227482679,0.7186,0.877939142,0.5078,0.643436391,0.0706,,,,,,,,,
0.04,14,0.691026064,0.518,0.510573308,0.8692,0.643280047,0.8332,,,,,,,,,
