self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.34,15,0.912829209,0.7366,0.911908078,0.5238,0.665396341,0.0506,,,,,,,,,
0.11,1,0.999735043,0.4995,0.499748819,0.9948,0.665284558,0.9958,,,,,,,,,
0.11,5,0.978750464,0.6387,0.619713447,0.718,0.665245993,0.4406,,,,,,,,,
0.01,8,0.999788035,0.4983,0.49914804,0.996,0.665019697,0.9994,,,,,,,,,
0.25,10,0.972444492,0.6653,0.665664462,0.6642,0.664931425,0.3336,,,,,,,,,
0.03,3,0.999682052,0.498,0.498997795,0.9958,0.664841768,0.9998,,,,,,,,,
0.3,2,0.973080388,0.6618,0.659189296,0.67,0.664550684,0.3464,,,,,,,,,
0.31,10,0.938053097,0.7283,0.869776482,0.537,0.664028688,0.0804,,,,,,,,,
0.01,10,0.999682052,0.4976,0.498793485,0.9922,0.66385655,0.997,,,,,,,,,
0.11,2,0.999258121,0.4998,0.499898785,0.9878,0.663844086,0.9882,,,,,,,,,
0.1,2,0.999152138,0.5001,0.500050653,0.9872,0.663842378,0.987,,,,,,,,,
0.02,4,0.99962906,0.4968,0.498394864,0.9936,0.663816141,1,,,,,,,,,
0.04,3,0.999311112,0.4973,0.498643625,0.9926,0.663813282,0.998,,,,,,,,,
0.26,3,0.973769276,0.6567,0.650355018,0.6778,0.663793948,0.3644,,,,,,,,,
0.12,1,0.999470086,0.4986,0.499292929,0.9886,0.663489933,0.9914,,,,,,,,,
0.13,1,0.999364104,0.4999,0.499949285,0.9858,0.663436301,0.986,,,,,,,,,
0.33,5,0.938583011,0.7266,0.863607189,0.5382,0.663134549,0.085,,,,,,,,,
0.34,2,0.972550474,0.6616,0.660253868,0.6658,0.663015336,0.3426,,,,,,,,,
0.2,11,0.967463303,0.6854,0.71488178,0.6168,0.662228903,0.246,,,,,,,,,
0.24,4,0.972868422,0.6557,0.649913345,0.675,0.66221917,0.3636,,,,,,,,,
0.14,1,0.998304276,0.5048,0.502486016,0.9702,0.662071789,0.9606,,,,,,,,,
0.22,5,0.972868422,0.6589,0.655998429,0.6682,0.662043,0.3504,,,,,,,,,
0.03,4,0.999364104,0.4948,0.497385884,0.9894,0.661983139,0.9998,,,,,,,,,
0.23,15,0.969953898,0.7019,0.764474718,0.5836,0.661903142,0.1798,,,,,,,,,
0.15,1,0.99803932,0.5076,0.503974064,0.9638,0.661859635,0.9486,,,,,,,,,
0.14,11,0.978909438,0.6389,0.622378855,0.7064,0.661733021,0.4286,,,,,,,,,
0.01,9,0.998993164,0.4958,0.497875354,0.9842,0.661246977,0.9926,,,,,,,,,
0.25,5,0.968947062,0.6758,0.692425569,0.6326,0.661162207,0.281,,,,,,,,,
0.2,12,0.972656457,0.6612,0.661329063,0.6608,0.661064426,0.3384,,,,,,,,,
0.16,1,0.997774363,0.5092,0.504855394,0.9566,0.660909217,0.9382,,,,,,,,,
0.01,5,0.998887181,0.4999,0.499948702,0.9746,0.660880179,0.9748,,,,,,,,,
0.02,11,0.997880346,0.5086,0.504533952,0.957,0.66072908,0.9398,,,,,,,,,
0.01,6,0.998516242,0.5003,0.500154273,0.9726,0.660599063,0.972,,,,,,,,,
0.01,13,0.998781199,0.4992,0.499589238,0.973,0.660198127,0.9746,,,,,,,,,
0.2,14,0.950718033,0.7017,0.768004252,0.578,0.659591464,0.1746,,,,,,,,,
0.41,2,0.927560808,0.7102,0.79977182,0.5608,0.659299318,0.1404,,,,,,,,,
0.18,11,0.973186371,0.6506,0.643319376,0.676,0.659254925,0.3748,,,,,,,,,
0.17,1,0.997562397,0.511,0.505882353,0.946,0.659233449,0.924,,,,,,,,,
0.05,3,0.998410259,0.4934,0.496649066,0.9782,0.658809267,0.9914,,,,,,,,,
0.01,78,0.988818823,0.5544,0.533746898,0.8604,0.658805513,0.7516,,,,,,,,,
0.02,10,0.998781199,0.4934,0.496648385,0.978,0.658763303,0.9912,,,,,,,,,
0.01,7,0.99883419,0.4981,0.499019709,0.9672,0.658362263,0.971,,,,,,,,,
0.22,14,0.885326692,0.7146,0.820107399,0.5498,0.658285441,0.1206,,,,,,,,,
0.19,5,0.97355731,0.6506,0.644197625,0.6728,0.658188221,0.3716,,,,,,,,,
0.06,3,0.998251285,0.4917,0.495789794,0.9774,0.65787171,0.994,,,,,,,,,
0.19,10,0.921307827,0.7048,0.782249173,0.5676,0.657858136,0.158,,,,,,,,,
0.33,11,0.949181283,0.7346,0.926855895,0.5094,0.65745999,0.0402,,,,,,,,,
0.15,5,0.979121403,0.6323,0.615545852,0.7048,0.657156177,0.4402,,,,,,,,,
0.02,9,0.997615389,0.5019,0.500997794,0.954,0.656979547,0.9502,,,,,,,,,
0.13,2,0.997191458,0.5004,0.500209161,0.9566,0.656915259,0.9558,,,,,,,,,
0.03,7,0.997986328,0.4946,0.497224507,0.9674,0.656844106,0.9782,,,,,,,,,
0.02,5,0.99766838,0.4999,0.499947759,0.957,0.656784023,0.9572,,,,,,,,,
0.02,6,0.998304276,0.4937,0.496750232,0.963,0.655414143,0.9756,,,,,,,,,
0.18,1,0.996131631,0.5119,0.506499181,0.9274,0.65517485,0.9036,,,,,,,,,
0.2,5,0.973027397,0.6451,0.637327276,0.6734,0.654867257,0.3832,,,,,,,,,
0.07,3,0.997509406,0.4886,0.494189602,0.9696,0.654692775,0.9924,,,,,,,,,
0.21,5,0.973610302,0.6457,0.638524434,0.6716,0.654644702,0.3802,,,,,,,,,
0.23,3,0.975464999,0.6349,0.621203953,0.6914,0.654424988,0.4216,,,,,,,,,
0.04,4,0.997562397,0.4902,0.494974359,0.9652,0.654372881,0.9848,,,,,,,,,
0.15,14,0.971119707,0.6767,0.703150149,0.6116,0.654187614,0.2582,,,,,,,,,
0.18,14,0.973080388,0.6458,0.639441469,0.6686,0.653695737,0.377,,,,,,,,,
0.33,13,0.954692385,0.6996,0.771638541,0.567,0.653677657,0.1678,,,,,,,,,
0.22,1,0.993058132,0.5425,0.525911474,0.8626,0.653435346,0.7776,,,,,,,,,
0.19,13,0.973239362,0.6444,0.63757622,0.6692,0.653005464,0.3804,,,,,,,,,
0.01,82,0.98171798,0.6003,0.576976209,0.7518,0.652887538,0.5512,,,,,,,,,
0.17,9,0.972974405,0.6452,0.639240506,0.6666,0.65263364,0.3762,,,,,,,,,
0.03,9,0.996449579,0.5051,0.502757651,0.9298,0.652628624,0.9196,,,,,,,,,
0.04,10,0.997456415,0.4952,0.497481108,0.948,0.65253304,0.9576,,,,,,,,,
0.02,8,0.997880346,0.4943,0.497016019,0.9494,0.652463748,0.9608,,,,,,,,,
0.02,13,0.9957077,0.5122,0.50675526,0.9152,0.652316465,0.8908,,,,,,,,,
0.01,11,0.996979492,0.4978,0.498835239,0.9422,0.652312379,0.9466,,,,,,,,,
0.06,9,0.996343596,0.5032,0.501722653,0.932,0.652295633,0.9256,,,,,,,,,
