self_radius,self_count,uc,accuracy,precision,recall,f1,far
0.2,14,0.912521441,0.6547,0.651221896,0.6662,0.658625803,0.3568
0.28,15,0.734133791,0.7286,0.887983707,0.5232,0.6584445,0.066
0.24,3,0.912521441,0.6418,0.629285193,0.6902,0.658336513,0.4066
0.16,6,0.919382504,0.6218,0.60049505,0.7278,0.658047016,0.4842
0.27,9,0.799313894,0.7128,0.813864307,0.5518,0.657687723,0.1262
0.01,16,0.97084048,0.5131,0.507104892,0.935,0.657570856,0.9088
0.03,4,0.991423671,0.4906,0.495240988,0.9782,0.657569239,0.997
0.43,11,0.737564322,0.729,0.894555479,0.5192,0.657048848,0.0612
0.19,11,0.886792453,0.6703,0.684907709,0.6308,0.656741281,0.2902
0.02,9,0.981132075,0.4912,0.495520261,0.9734,0.656726488,0.991
0.22,6,0.910806175,0.6534,0.650569297,0.6628,0.6566277,0.356
0.03,8,0.951972556,0.514,0.507648601,0.9292,0.656585642,0.9012
0.21,13,0.852487136,0.6834,0.717504744,0.605,0.656467014,0.2382
0.2,10,0.730703259,0.6893,0.734108335,0.5936,0.65641933,0.215
0.01,14,0.958833619,0.4967,0.498287494,0.9602,0.656098394,0.9668
0.02,11,0.975986278,0.4963,0.498080315,0.96,0.655872105,0.9674
0.01,17,0.963979417,0.5007,0.50036815,0.9514,0.655821328,0.95
0.28,3,0.802744425,0.7063,0.792126876,0.5594,0.655726175,0.1468
0.01,15,0.969125214,0.5039,0.50207513,0.9436,0.655414322,0.9358
0.12,15,0.912521441,0.6457,0.638156647,0.673,0.655115351,0.3816
0.15,26,0.826758148,0.7075,0.798046538,0.5556,0.655111426,0.1406
0.01,98,0.80102916,0.6412,0.630692336,0.6814,0.655066333,0.399
0.15,9,0.912521441,0.6357,0.622054326,0.6916,0.654986268,0.4202
0.09,3,0.991423671,0.4888,0.494295029,0.9704,0.654967603,0.9928
0.25,5,0.881646655,0.6682,0.68235039,0.6294,0.654806492,0.293
0.02,7,0.972555746,0.4923,0.496032973,0.9628,0.654743285,0.9782
0.02,68,0.867924528,0.6298,0.61342188,0.702,0.654728595,0.4424
0.21,7,0.89193825,0.6606,0.66659751,0.6426,0.654378819,0.3214
0.16,14,0.914236707,0.6455,0.638439581,0.671,0.654314968,0.38
0.17,1,0.955403087,0.5083,0.504500596,0.9304,0.654243724,0.9138
0.03,5,0.97941681,0.492,0.495868622,0.9602,0.653998093,0.9762
0.22,8,0.912521441,0.6469,0.641168557,0.6672,0.653925316,0.3734
0.02,13,0.972555746,0.5036,0.501927608,0.9374,0.653787139,0.9302
0.26,6,0.716981132,0.6861,0.729017967,0.5924,0.653646695,0.2202
0.09,8,0.933104631,0.5688,0.546286329,0.812,0.653153153,0.6744
0.03,12,0.972555746,0.4994,0.499681529,0.9414,0.652843273,0.9426
0.19,14,0.898799314,0.6625,0.672103368,0.6346,0.652813497,0.3096
0.2,1,0.941680961,0.5209,0.511889862,0.8998,0.652549133,0.858
0.14,2,0.955403087,0.5074,0.504033137,0.9248,0.652462255,0.91
0.18,1,0.951972556,0.5106,0.505842152,0.9178,0.652217169,0.8966
0.3,5,0.864493997,0.6893,0.740778428,0.5824,0.652110626,0.2038
0.2,3,0.914236707,0.6258,0.609277276,0.7014,0.652101153,0.4498
0.04,11,0.931389365,0.5303,0.517825627,0.8802,0.6520483,0.8196
0.01,11,0.958833619,0.5031,0.501671159,0.9306,0.651908932,0.9244
0.21,2,0.919382504,0.5874,0.56379562,0.7724,0.651814346,0.5976
0.3,2,0.909090909,0.6381,0.628131379,0.677,0.651650784,0.4008
0.19,16,0.855917667,0.6949,0.759382486,0.5706,0.651593011,0.1808
0.02,6,0.969125214,0.4878,0.493706149,0.957,0.651374898,0.9814
0.12,2,0.958833619,0.4982,0.499041329,0.937,0.651237142,0.9406
0.03,10,0.957118353,0.5081,0.50445006,0.9182,0.651159492,0.902
0.04,9,0.965694683,0.5024,0.501295337,0.9288,0.651149748,0.924
0.01,9,0.953687822,0.5097,0.505360893,0.9144,0.6509575,0.895
0.16,11,0.907375643,0.6447,0.639698784,0.6626,0.65094803,0.3732
0.05,8,0.975986278,0.4933,0.496477763,0.9444,0.650816622,0.9578
0.03,7,0.941680961,0.5125,0.506974668,0.9086,0.650812979,0.8836
0.02,5,0.965694683,0.497,0.498404934,0.9374,0.650791447,0.9434
0.22,11,0.910806175,0.6428,0.636572303,0.6656,0.650762612,0.38
0.26,3,0.910806175,0.6283,0.613680666,0.6926,0.650756366,0.436
0.08,3,0.97941681,0.4865,0.493036212,0.9558,0.65051385,0.9828
0.05,9,0.969125214,0.497,0.498402896,0.9362,0.650500278,0.9422
0.16,15,0.914236707,0.6344,0.623122023,0.6802,0.650411168,0.4114
0.18,9,0.912521441,0.6271,0.612219672,0.6934,0.650286036,0.4392
0.01,6,0.95025729,0.5106,0.505898064,0.9092,0.65007865,0.888
0.2,4,0.912521441,0.6338,0.622572371,0.6796,0.649837445,0.412
0.34,2,0.816466552,0.6884,0.742408646,0.577,0.649336034,0.2002
0.4,4,0.646655232,0.7295,0.922963509,0.5008,0.649293401,0.0418
0.21,1,0.934819897,0.528,0.516552376,0.8738,0.649279239,0.8178
0.28,4,0.648370497,0.7161,0.850697825,0.5242,0.648682094,0.092
0.03,24,0.931389365,0.5569,0.537389933,0.8178,0.648584345,0.704
0.01,87,0.924528302,0.5712,0.549430714,0.7914,0.6485822,0.649
0.16,10,0.912521441,0.6287,0.615674996,0.685,0.648490012,0.4276
0.02,16,0.931389365,0.524,0.514061401,0.8774,0.648293188,0.8294
0.18,13,0.912521441,0.6377,0.629930176,0.6676,0.648218274,0.3922
0.05,10,0.97084048,0.4967,0.498226379,0.927,0.64811578,0.9336
0.19,1,0.938250429,0.5238,0.513957307,0.8764,0.647937306,0.8288
0.03,11,0.943396226,0.5154,0.508785942,0.8918,0.647922116,0.861
0.24,5,0.819897084,0.6891,0.747060361,0.5718,0.647785204,0.1936
0.18,4,0.914236707,0.6205,0.604365148,0.6978,0.647730437,0.4568
0.05,4,0.965694683,0.495,0.497319897,0.9278,0.647543272,0.9378
0.15,8,0.915951973,0.611,0.591978787,0.7144,0.647453326,0.4924
0.04,5,0.960548885,0.5048,0.50265428,0.909,0.647343683,0.8994
0.07,10,0.931389365,0.5445,0.528146743,0.835,0.647036033,0.746
0.03,14,0.955403087,0.5115,0.50650968,0.8948,0.64685896,0.8718
0.3,6,0.569468268,0.7227,0.890838891,0.5076,0.646706587,0.0622
0.13,9,0.915951973,0.6124,0.594295302,0.7084,0.646350365,0.4836
0.01,64,0.90051458,0.581,0.559227844,0.7648,0.646055077,0.6028
0.19,4,0.912521441,0.6143,0.596946565,0.7038,0.645984397,0.4752
0.03,6,0.951972556,0.5006,0.50032967,0.9106,0.645815603,0.9094
0.02,8,0.948542024,0.5117,0.506659078,0.8902,0.645774392,0.8668
0.02,12,0.962264151,0.5049,0.50273224,0.9016,0.645521587,0.8918
0.23,1,0.934819897,0.5326,0.51992178,0.8508,0.64542558,0.7856
0.26,5,0.650085763,0.7042,0.805505685,0.5384,0.645408775,0.13
0.1,7,0.929674099,0.5572,0.538204649,0.8058,0.645362806,0.6914
0.19,5,0.912521441,0.6259,0.613525699,0.6804,0.645234708,0.4286
0.01,20,0.934819897,0.5149,0.508603765,0.8808,0.64484955,0.851
0.09,9,0.917667238,0.5647,0.544639161,0.7894,0.644566016,0.66
0.01,21,0.941680961,0.5064,0.50360117,0.895,0.644534063,0.8822
0.28,7,0.598627787,0.7147,0.854876033,0.5172,0.644485981,0.0878
0.15,2,0.936535163,0.5122,0.50700023,0.8836,0.64430509,0.8592
0.22,1,0.931389365,0.527,0.516300411,0.8552,0.643878934,0.8012
0.08,4,0.967409949,0.4965,0.498082612,0.9092,0.643590288,0.9162
0.42,1,0.903945111,0.6228,0.609996417,0.681,0.643545644,0.4354
0.28,2,0.903945111,0.6147,0.598760117,0.6954,0.643471824,0.466
0.05,7,0.941680961,0.5052,0.502933875,0.8914,0.643052951,0.881
0.07,6,0.948542024,0.5113,0.506509967,0.8792,0.642737042,0.8566
0.05,5,0.946826758,0.498,0.498895028,0.903,0.642704626,0.907
0.26,2,0.912521441,0.6164,0.601464435,0.69,0.642697466,0.4572
0.06,8,0.951972556,0.5025,0.501401188,0.8946,0.642626248,0.8896
0.01,12,0.95025729,0.4938,0.496614981,0.9096,0.642463625,0.922
0.14,13,0.912521441,0.6203,0.607047517,0.6822,0.642433374,0.4416
0.23,3,0.912521441,0.6203,0.607047517,0.6822,0.642433374,0.4416
0.04,6,0.934819897,0.5195,0.51155898,0.863,0.642352066,0.824
0.25,15,0.725557461,0.7098,0.837082262,0.521,0.642258383,0.1014
0.06,9,0.943396226,0.5116,0.506703652,0.8768,0.64225022,0.8536
0.01,24,0.929674099,0.5079,0.50451377,0.883,0.642135117,0.8672
0.08,18,0.895368782,0.6061,0.588343047,0.7066,0.642071786,0.4944
