self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.21,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.22,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.26,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.16,2,0.992,0.5005,0.500250426,0.9988,0.666622172,0.9978,,,,,,,,,,
0.16,4,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,,
0.18,5,0.992,0.5009,0.500451399,0.9978,0.666577594,0.996,,,,,,,,,,
0.21,3,1,0.4999,0.499949985,0.9996,0.666533307,0.9998,,,,,,,,,,
0.18,1,0.96,0.504,0.502026342,0.991,0.666442502,0.983,,,,,,,,,,
0.21,2,0.992,0.5011,0.500554268,0.9934,0.665683844,0.9912,,,,,,,,,,
0.2,1,1,0.4991,0.499549143,0.9972,0.665643148,0.999,,,,,,,,,,
0.04,10,0.968,0.5849,0.557295182,0.8258,0.665484729,0.656,,,,,,,,,,
0.06,32,0.96,0.5941,0.566202336,0.8048,0.664739407,0.6166,,,,,,,,,,
0.05,37,0.968,0.5206,0.511089578,0.9494,0.664473684,0.9082,,,,,,,,,,
0.18,4,0.96,0.5175,0.509335325,0.9548,0.66430112,0.9198,,,,,,,,,,
0.01,27,0.968,0.5106,0.505553227,0.965,0.66350385,0.9438,,,,,,,,,,
0.02,42,0.968,0.5841,0.558313687,0.8052,0.659405454,0.637,,,,,,,,,,
0.15,3,1,0.4939,0.4968982,0.9772,0.658801321,0.9894,,,,,,,,,,
0.04,17,0.96,0.5004,0.500207857,0.9626,0.658323075,0.9618,,,,,,,,,,
0.06,6,1,0.4897,0.49475186,0.971,0.655505299,0.9916,,,,,,,,,,
0.23,5,0.968,0.4945,0.497152325,0.9602,0.655113598,0.9712,,,,,,,,,,
0.24,2,0.968,0.5221,0.512752452,0.8886,0.650274424,0.8444,,,,,,,,,,
0.02,14,0.966,0.585,0.563037674,0.7592,0.646567876,0.5892,,,,,,,,,,
0.23,3,0.96,0.5014,0.500788821,0.8888,0.640622748,0.886,,,,,,,,,,
0.06,18,0.96,0.5541,0.538516304,0.7564,0.629127506,0.6482,,,,,,,,,,
0.19,7,0.706,0.6026,0.589905363,0.6732,0.628806277,0.468,,,,,,,,,,
0.15,20,0.622,0.5836,0.56875,0.6916,0.624187726,0.5244,,,,,,,,,,
0.09,13,0.49,0.6049,0.5963623,0.6492,0.621660442,0.4394,,,,,,,,,,
0.07,16,0.544,0.5416,0.529229904,0.7532,0.621657313,0.67,,,,,,,,,,
0.27,2,0.96,0.4978,0.498668603,0.824,0.621324084,0.8284,,,,,,,,,,
0.05,9,0.968,0.5725,0.558251647,0.6948,0.619085806,0.5498,,,,,,,,,,
0.25,1,0.96,0.466,0.481073258,0.8642,0.618080389,0.9322,,,,,,,,,,
0.01,17,0.968,0.5297,0.52054226,0.7526,0.615422357,0.6932,,,,,,,,,,
0.03,38,0.596,0.5567,0.543973941,0.7014,0.612736962,0.588,,,,,,,,,,
0.07,33,0.878,0.4517,0.473534247,0.8642,0.611823009,0.9608,,,,,,,,,,
0.04,20,0.596,0.5385,0.527967456,0.7268,0.61163006,0.6498,,,,,,,,,,
0.16,1,0.96,0.4677,0.481104481,0.8224,0.607071676,0.887,,,,,,,,,,
0.26,2,0.804,0.4881,0.492565288,0.7884,0.606321618,0.8122,,,,,,,,,,
0.13,34,0.968,0.5279,0.520022965,0.7246,0.605498454,0.6688,,,,,,,,,,
0.07,18,0.96,0.4835,0.489803485,0.7926,0.605454129,0.8256,,,,,,,,,,
0.03,33,0.63,0.5413,0.531179224,0.7036,0.605351458,0.621,,,,,,,,,,
0.01,18,0.614,0.4793,0.487248984,0.791,0.60303423,0.8324,,,,,,,,,,
0.03,6,0.596,0.4791,0.487128957,0.791,0.602942297,0.8328,,,,,,,,,,
0.14,6,0.96,0.5504,0.539936609,0.6814,0.602475685,0.5806,,,,,,,,,,
0.21,1,0.96,0.4588,0.475849941,0.8118,0.6,0.8942,,,,,,,,,,
0.56,1,0.908,0.4465,0.46950872,0.8238,0.59812677,0.9308,,,,,,,,,,
0.02,29,0.666,0.4519,0.472154683,0.8156,0.598078756,0.9118,,,,,,,,,,
0.03,21,0.846,0.5386,0.529811554,0.686,0.597873453,0.6088,,,,,,,,,,
0.02,6,0.63,0.4475,0.469789389,0.8164,0.596391263,0.9214,,,,,,,,,,
0.01,12,0.968,0.4494,0.470601906,0.81,0.595325592,0.9112,,,,,,,,,,
0.01,31,0.96,0.5054,0.50374376,0.7266,0.594988536,0.7158,,,,,,,,,,
0.28,4,0.992,0.4461,0.468818697,0.8104,0.594004251,0.9182,,,,,,,,,,
0.08,15,0.968,0.5106,0.507549858,0.7126,0.592845258,0.6914,,,,,,,,,,
0.02,28,0.69,0.5057,0.503995514,0.719,0.592598698,0.7076,,,,,,,,,,
0.04,34,0.96,0.4326,0.461843297,0.8158,0.589791787,0.9506,,,,,,,,,,
0.1,42,0.96,0.5062,0.504408419,0.7094,0.589594415,0.697,,,,,,,,,,
0.08,22,0.628,0.4829,0.488745557,0.7426,0.589505438,0.7768,,,,,,,,,,
0.06,20,0.678,0.5345,0.527359239,0.665,0.588235294,0.596,,,,,,,,,,
0.05,7,0.62,0.4506,0.470369482,0.7842,0.588032394,0.883,,,,,,,,,,
0.02,26,0.968,0.4267,0.458889512,0.8182,0.587998563,0.9648,,,,,,,,,,
0.04,36,0.96,0.5362,0.528950736,0.6614,0.587806612,0.589,,,,,,,,,,
0.02,100,0.716,0.5543,0.547291413,0.6284,0.585047947,0.5198,,,,,,,,,,
0.04,43,0.71,0.4426,0.465710872,0.7796,0.583096485,0.8944,,,,,,,,,,
0.17,5,0.992,0.4162,0.453205271,0.8116,0.58162534,0.9792,,,,,,,,,,
0.18,3,0.96,0.4255,0.456751422,0.7868,0.577976934,0.9358,,,,,,,,,,
0.14,8,0.968,0.5228,0.518164436,0.6504,0.576800284,0.6048,,,,,,,,,,
0.03,40,0.816,0.5024,0.501786246,0.6742,0.575354156,0.6694,,,,,,,,,,
0.08,28,0.478,0.5309,0.526023244,0.6246,0.571088964,0.5628,,,,,,,,,,
0.12,16,0.96,0.5128,0.510200829,0.6402,0.567855242,0.6146,,,,,,,,,,
0.36,1,0.796,0.4898,0.492367555,0.658,0.563259716,0.6784,,,,,,,,,,
0.05,19,0.968,0.4345,0.45844436,0.7226,0.56098129,0.8536,,,,,,,,,,
0.09,22,0.604,0.5161,0.513651009,0.6058,0.555932826,0.5736,,,,,,,,,,
0.45,1,0.798,0.4774,0.483239395,0.6516,0.554931017,0.6968,,,,,,,,,,
0.1,18,0.596,0.5088,0.507362784,0.6064,0.552478134,0.5888,,,,,,,,,,
0.01,39,0.968,0.4328,0.45613577,0.6988,0.551974724,0.8332,,,,,,,,,,
0.09,7,0.588,0.4939,0.495119219,0.6188,0.550093342,0.631,,,,,,,,,,
0.04,76,0.96,0.4804,0.485033598,0.6352,0.550051957,0.6744,,,,,,,,,,
0.02,36,0.596,0.4996,0.499671161,0.6078,0.548456957,0.6086,,,,,,,,,,
0.09,10,0.59,0.4912,0.492907801,0.6116,0.545876473,0.6292,,,,,,,,,,
0.02,16,0.596,0.4793,0.483891051,0.6218,0.544245077,0.6632,,,,,,,,,,
0.1,7,0.63,0.4963,0.496935564,0.6,0.543625985,0.6074,,,,,,,,,,
0.04,7,0.596,0.459,0.470055507,0.6436,0.543305757,0.7256,,,,,,,,,,
0.03,19,0.596,0.4934,0.494556252,0.5996,0.542035798,0.6128,,,,,,,,,,
0.06,53,0.444,0.5199,0.518240147,0.5654,0.540793879,0.5256,,,,,,,,,,
0.09,26,0.444,0.5227,0.5210458,0.562,0.540748581,0.5166,,,,,,,,,,
0.08,25,0.596,0.5048,0.504155125,0.5824,0.540460282,0.5728,,,,,,,,,,
0.01,40,0.596,0.4769,0.48190506,0.6152,0.540455065,0.6614,,,,,,,,,,
0.16,32,0.432,0.5236,0.521990309,0.5602,0.540420606,0.513,,,,,,,,,,
0.04,26,0.6,0.4797,0.483845297,0.608,0.538863777,0.6486,,,,,,,,,,
0.06,27,0.596,0.4875,0.489775887,0.5988,0.538828399,0.6238,,,,,,,,,,
0.22,5,0.596,0.5303,0.529298008,0.5474,0.538196834,0.4868,,,,,,,,,,
0.04,13,0.444,0.5006,0.500516707,0.5812,0.537849343,0.58,,,,,,,,,,
0.03,66,0.628,0.4246,0.449314332,0.6684,0.537385432,0.8192,,,,,,,,,,
0.16,12,0.432,0.5169,0.515564561,0.5598,0.536772461,0.526,,,,,,,,,,
0.01,16,0.596,0.4164,0.444927536,0.6754,0.536457506,0.8426,,,,,,,,,,
0.09,30,0.432,0.506,0.505304102,0.5716,0.536411411,0.5596,,,,,,,,,,
0.05,29,0.596,0.5043,0.503780552,0.573,0.536165435,0.5644,,,,,,,,,,
0.02,11,0.596,0.4801,0.483928283,0.5992,0.535430256,0.639,,,,,,,,,,
0.05,10,0.596,0.4835,0.486499755,0.5946,0.535145351,0.6276,,,,,,,,,,
0.05,27,0.596,0.481,0.484577922,0.597,0.534946237,0.635,,,,,,,,,,
0.07,15,0.444,0.4846,0.487335526,0.5926,0.534837545,0.6234,,,,,,,,,,
0.02,31,0.596,0.4923,0.493444577,0.5796,0.533063552,0.595,,,,,,,,,,
0.03,30,0.44,0.493,0.494023224,0.5786,0.532977155,0.5926,,,,,,,,,,
0.05,15,0.432,0.4774,0.48171521,0.5954,0.53255814,0.6406,,,,,,,,,,
0.19,3,0.596,0.3885,0.430993935,0.6964,0.53245661,0.9194,,,,,,,,,,
0.04,15,0.63,0.4454,0.460122699,0.63,0.531825089,0.7392,,,,,,,,,,
0.06,28,0.596,0.4407,0.45722118,0.6338,0.531221189,0.7524,,,,,,,,,,
0.03,15,0.436,0.4997,0.49973531,0.5664,0.530983407,0.567,,,,,,,,,,
0.01,42,0.598,0.4555,0.466313399,0.616,0.530805687,0.705,,,,,,,,,,
0.02,41,0.596,0.5106,0.509800296,0.5514,0.529784781,0.5302,,,,,,,,,,
0.06,43,0.596,0.4303,0.450811574,0.6388,0.52858916,0.7782,,,,,,,,,,
0.03,7,0.628,0.3971,0.433945307,0.676,0.528579248,0.8818,,,,,,,,,,
0.07,23,0.596,0.4414,0.457201285,0.626,0.528448421,0.7432,,,,,,,,,,
0.02,21,0.596,0.4395,0.455871627,0.625,0.527203712,0.746,,,,,,,,,,
0.01,29,0.588,0.4861,0.488125747,0.5714,0.526490371,0.5992,,,,,,,,,,
0.02,7,0.596,0.4011,0.435147541,0.6636,0.525623762,0.8614,,,,,,,,,,
0.04,18,0.588,0.4723,0.477335952,0.5834,0.525065251,0.6388,,,,,,,,,,
0.04,19,0.588,0.4323,0.451273931,0.627,0.524817946,0.7624,,,,,,,,,,
0.17,4,0.588,0.4514,0.462775735,0.6042,0.524115198,0.7014,,,,,,,,,,
0.06,11,0.588,0.5185,0.518105304,0.5294,0.52369176,0.4924,,,,,,,,,,
0.02,24,0.6,0.4844,0.486579491,0.5656,0.523122457,0.5968,,,,,,,,,,
0.21,5,0.588,0.4822,0.484665748,0.5626,0.520733062,0.5982,,,,,,,,,,
0.01,30,0.588,0.4207,0.444005084,0.6288,0.520486715,0.7874,,,,,,,,,,
0.01,25,0.596,0.437,0.452844311,0.605,0.517979452,0.731,,,,,,,,,,
0.2,3,0.62,0.3994,0.432483221,0.6444,0.517590361,0.8456,,,,,,,,,,
0.01,56,0.588,0.5028,0.502669718,0.5272,0.514642718,0.5216,,,,,,,,,,
0.04,39,0.596,0.456,0.464297306,0.5722,0.512632145,0.6602,,,,,,,,,,
0.11,24,0.478,0.5101,0.510053753,0.5124,0.511224184,0.4922,,,,,,,,,,
0.02,13,0.598,0.4921,0.492579373,0.5244,0.507991863,0.5402,,,,,,,,,,
0.37,4,0.596,0.4793,0.481321061,0.5334,0.506024096,0.5748,,,,,,,,,,
0.34,1,0.462,0.3926,0.424810977,0.6068,0.499752924,0.8216,,,,,,,,,,
0.24,5,0.588,0.4861,0.486779532,0.5118,0.498976309,0.5396,,,,,,,,,,
0.12,21,0.592,0.5155,0.516613076,0.482,0.498706674,0.451,,,,,,,,,,
0.13,12,0.432,0.505,0.505232315,0.4828,0.493761505,0.4728,,,,,,,,,,
0.3,1,0.494,0.4835,0.484100983,0.5024,0.493080773,0.5354,,,,,,,,,,
0.2,4,0.678,0.3525,0.404033832,0.621,0.489554592,0.916,,,,,,,,,,
0.08,24,0.646,0.4828,0.482977039,0.488,0.485475527,0.5224,,,,,,,,,,
0.32,1,0.96,0.376,0.410945131,0.5722,0.478348102,0.8202,,,,,,,,,,
0.02,71,0.588,0.4472,0.448457634,0.4594,0.453862873,0.565,,,,,,,,,,
0.03,100,0.62,0.465,0.463111298,0.4394,0.450944171,0.5094,,,,,,,,,,
0.03,41,0.624,0.4711,0.468661895,0.4322,0.44969306,0.49,,,,,,,,,,
0.18,94,0.438,0.5697,0.628077913,0.3418,0.442688771,0.2024,,,,,,,,,,
0.29,5,0.96,0.3724,0.397526502,0.495,0.440940673,0.7502,,,,,,,,,,
0.12,26,0.808,0.4263,0.428293442,0.4402,0.434165105,0.5876,,,,,,,,,,
0.36,2,0.796,0.4113,0.417702728,0.4502,0.433342959,0.6276,,,,,,,,,,
0.03,88,0.588,0.4922,0.48984375,0.3762,0.425565611,0.3918,,,,,,,,,,
0.1,47,0.596,0.473,0.467532468,0.3888,0.424546844,0.4428,,,,,,,,,,
0.03,24,0.596,0.3389,0.375636869,0.4866,0.423978392,0.8088,,,,,,,,,,
0.04,38,0.596,0.3444,0.378056426,0.4824,0.423901582,0.7936,,,,,,,,,,
0.06,36,0.588,0.3479,0.379648679,0.4798,0.423889036,0.784,,,,,,,,,,
0.03,99,0.588,0.469,0.463182898,0.39,0.423452769,0.452,,,,,,,,,,
0.05,35,0.596,0.4409,0.436791444,0.4084,0.422118863,0.5266,,,,,,,,,,
0.06,7,0.596,0.325,0.368894216,0.4924,0.421792016,0.8424,,,,,,,,,,
0.03,25,0.596,0.427,0.425601305,0.4176,0.421562689,0.5636,,,,,,,,,,
0.07,29,0.596,0.3398,0.375077979,0.481,0.421486155,0.8014,,,,,,,,,,
