self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,,
0.08,43,0.5742,0.5739,0.553234404,0.768,0.643162214,0.6202,,,,,,,,,,,
0.12,31,0.4712,0.5771,0.557238307,0.7506,0.639625053,0.5964,,,,,,,,,,,
0.01,41,0.4423,0.5829,0.563505439,0.7356,0.6381539,0.5698,,,,,,,,,,,
0.13,15,0.2999,0.6036,0.587058824,0.6986,0.637990868,0.4914,,,,,,,,,,,
0.03,10,0.7633,0.4915,0.495285635,0.893,0.637174456,0.91,,,,,,,,,,,
0.01,35,0.7576,0.4876,0.493141593,0.8916,0.635042735,0.9164,,,,,,,,,,,
0.06,42,0.4266,0.5892,0.571382843,0.714,0.634779516,0.5356,,,,,,,,,,,
0.07,11,0.662,0.5456,0.531675465,0.7654,0.627479915,0.6742,,,,,,,,,,,
0.02,23,0.7386,0.5151,0.509429249,0.8158,0.627200738,0.7856,,,,,,,,,,,
0.07,37,0.3454,0.5876,0.572878536,0.6886,0.625431426,0.5134,,,,,,,,,,,
0.34,2,0.8718,0.4762,0.486178862,0.8372,0.615135929,0.8848,,,,,,,,,,,
0.01,34,0.5912,0.5429,0.531245448,0.7294,0.614749263,0.6436,,,,,,,,,,,
0.02,54,0.6241,0.5481,0.536116534,0.714,0.612402436,0.6178,,,,,,,,,,,
0.02,18,0.6861,0.5146,0.509827679,0.7574,0.609430319,0.7282,,,,,,,,,,,
0.34,1,0.8967,0.4436,0.469092503,0.856,0.606060606,0.9688,,,,,,,,,,,
0.06,39,0.4318,0.5576,0.546783626,0.6732,0.603442094,0.558,,,,,,,,,,,
0.14,17,0.3974,0.5638,0.554049475,0.654,0.599889928,0.5264,,,,,,,,,,,
0.03,11,0.8921,0.4589,0.475526974,0.7986,0.596103605,0.8808,,,,,,,,,,,
0.08,23,0.921,0.4651,0.478680513,0.7836,0.594311718,0.8534,,,,,,,,,,,
0.17,3,0.9341,0.4409,0.466186062,0.8148,0.593056263,0.933,,,,,,,,,,,
0.09,26,0.555,0.5146,0.510641399,0.7006,0.590725126,0.6714,,,,,,,,,,,
0.05,7,0.986,0.4236,0.457808703,0.829,0.589867653,0.9818,,,,,,,,,,,
0.05,22,0.7894,0.4496,0.469380316,0.7726,0.583975813,0.8734,,,,,,,,,,,
0.02,32,0.6793,0.4747,0.483175954,0.7266,0.580397795,0.7772,,,,,,,,,,,
0.02,36,0.791,0.4494,0.468703612,0.7578,0.579180679,0.859,,,,,,,,,,,
0.13,22,0.4352,0.5341,0.52826123,0.6374,0.577721381,0.5692,,,,,,,,,,,
0.33,1,0.7711,0.461,0.47447644,0.725,0.573575949,0.803,,,,,,,,,,,
0.06,7,0.8377,0.4259,0.456179775,0.7714,0.573318469,0.9196,,,,,,,,,,,
0.07,28,0.4277,0.5215,0.517369527,0.6404,0.572347842,0.5974,,,,,,,,,,,
0.48,1,0.5966,0.4711,0.480326753,0.7056,0.571567436,0.7634,,,,,,,,,,,
0.03,30,0.6549,0.4713,0.480328992,0.7008,0.5699878,0.7582,,,,,,,,,,,
0.1,32,0.7752,0.423,0.453847998,0.7572,0.567531105,0.9112,,,,,,,,,,,
0.39,1,0.5769,0.4942,0.495581962,0.6506,0.562608094,0.6622,,,,,,,,,,,
0.21,20,0.3324,0.5434,0.540081271,0.5848,0.561551757,0.498,,,,,,,,,,,
0.27,1,0.7065,0.4248,0.453614606,0.7354,0.561117046,0.8858,,,,,,,,,,,
0.29,1,0.4566,0.5059,0.504749638,0.627,0.559272143,0.6152,,,,,,,,,,,
0.22,4,0.6438,0.4652,0.47547223,0.6746,0.557797255,0.7442,,,,,,,,,,,
0.07,25,0.3583,0.5467,0.544535571,0.571,0.557453871,0.4776,,,,,,,,,,,
0.05,42,0.5638,0.5139,0.511805674,0.6026,0.553504179,0.5748,,,,,,,,,,,
0.02,13,0.5333,0.5155,0.513355161,0.5958,0.551513468,0.5648,,,,,,,,,,,
0.03,32,0.6399,0.4853,0.48850305,0.6246,0.54823137,0.654,,,,,,,,,,,
0.08,30,0.5462,0.4523,0.466516917,0.6646,0.548214138,0.76,,,,,,,,,,,
0.08,8,0.4311,0.5211,0.518856122,0.5806,0.547994337,0.5384,,,,,,,,,,,
0.03,22,0.5794,0.4984,0.498686371,0.6074,0.547700631,0.6106,,,,,,,,,,,
0.02,41,0.3742,0.5385,0.53705486,0.558,0.547327121,0.481,,,,,,,,,,,
0.01,32,0.6694,0.4803,0.484782945,0.6276,0.547023446,0.667,,,,,,,,,,,
0.02,29,0.4764,0.5128,0.511149826,0.5868,0.546368715,0.5612,,,,,,,,,,,
0.02,17,0.6681,0.4763,0.481877963,0.6302,0.546147846,0.6776,,,,,,,,,,,
0.04,24,0.5248,0.5081,0.506938496,0.5918,0.546092092,0.5756,,,,,,,,,,,
0.04,22,0.5009,0.5026,0.502208631,0.5912,0.543082859,0.586,,,,,,,,,,,
0.13,6,0.6581,0.4747,0.480427046,0.621,0.541742999,0.6716,,,,,,,,,,,
0.05,25,0.3962,0.5316,0.530291411,0.5532,0.541503524,0.49,,,,,,,,,,,
0.04,8,0.506,0.4962,0.49681742,0.5932,0.540747493,0.6008,,,,,,,,,,,
0.03,12,0.5073,0.4951,0.495906433,0.5936,0.540373236,0.6034,,,,,,,,,,,
0.01,81,0.616,0.4757,0.481000782,0.6152,0.539885915,0.6638,,,,,,,,,,,
0.05,27,0.3961,0.52,0.518429783,0.5626,0.539612507,0.5226,,,,,,,,,,,
0.12,22,0.4815,0.4986,0.498811545,0.5876,0.539577594,0.5904,,,,,,,,,,,
0.04,7,0.7588,0.4469,0.462109319,0.6476,0.539352045,0.7538,,,,,,,,,,,
0.11,13,0.4758,0.4992,0.499317639,0.5854,0.538943104,0.587,,,,,,,,,,,
0.06,17,0.4321,0.5154,0.513994911,0.5656,0.538564083,0.5348,,,,,,,,,,,
0.09,7,0.8745,0.4191,0.446614755,0.6768,0.538125149,0.8386,,,,,,,,,,,
0.01,30,0.5239,0.4819,0.48533463,0.599,0.536209829,0.6352,,,,,,,,,,,
0.14,4,0.7558,0.4396,0.457344633,0.6476,0.536092715,0.7684,,,,,,,,,,,
0.03,31,0.9002,0.4062,0.439840944,0.6858,0.535948734,0.8734,,,,,,,,,,,
0.07,27,0.4972,0.4876,0.489728297,0.5912,0.535701341,0.616,,,,,,,,,,,
0.07,20,0.4423,0.4962,0.496751026,0.581,0.535582596,0.5886,,,,,,,,,,,
0.01,29,0.932,0.4,0.436836786,0.6916,0.535459895,0.8916,,,,,,,,,,,
0.16,21,0.5944,0.4703,0.476793249,0.6102,0.535310115,0.6696,,,,,,,,,,,
0.05,40,0.4512,0.5009,0.500784109,0.5748,0.535245367,0.573,,,,,,,,,,,
