self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.18,4,0.4997,0.4692,0.473365617,0.5474,0.507698015,0.609,,,,,,,,,
0.25,1,0.5146,0.405,0.432585864,0.6096,0.506060103,0.7996,,,,,,,,,
0.05,27,0.5001,0.4274,0.444563225,0.5822,0.504156564,0.7274,,,,,,,,,
0.11,31,0.5001,0.5173,0.518361282,0.4884,0.502934816,0.4538,,,,,,,,,
0.07,33,0.4989,0.4984,0.498405739,0.5002,0.499301258,0.5034,,,,,,,,,
0.02,82,0.5001,0.5082,0.508538109,0.4884,0.49826566,0.472,,,,,,,,,
0.25,5,0.499,0.5112,0.511814346,0.4852,0.498151951,0.4628,,,,,,,,,
0.09,29,0.5001,0.4796,0.480863039,0.5126,0.496224589,0.5534,,,,,,,,,
0.04,40,0.4954,0.5123,0.513166346,0.4794,0.49570882,0.4548,,,,,,,,,
0.05,39,0.499,0.4798,0.480993602,0.5112,0.495636998,0.5516,,,,,,,,,
0.05,38,0.5001,0.4897,0.489927635,0.501,0.495401958,0.5216,,,,,,,,,
0.17,19,0.4988,0.5051,0.505306972,0.4856,0.495257522,0.4754,,,,,,,,,
0.02,37,0.5146,0.468,0.470588235,0.512,0.490421456,0.576,,,,,,,,,
0.04,68,0.5001,0.3978,0.424475318,0.5744,0.4881863,0.7788,,,,,,,,,
0.1,41,0.9987,0.4745,0.474955804,0.4836,0.479238926,0.5346,,,,,,,,,
0.01,99,0.5146,0.3844,0.411943937,0.5408,0.46765825,0.772,,,,,,,,,
0.15,7,0.0193,0.4384,0.443465492,0.4832,0.462480858,0.6064,,,,,,,,,
0.49,2,0.5037,0.5464,0.568195179,0.3866,0.460128541,0.2938,,,,,,,,,
0.19,5,0.0004,0.3433,0.390404252,0.5582,0.459461684,0.8716,,,,,,,,,
0.27,2,0.0005,0.3494,0.391748131,0.545,0.455838073,0.8462,,,,,,,,,
0.34,2,0.4991,0.4476,0.448967667,0.461,0.454904283,0.5658,,,,,,,,,
0.25,3,0.0157,0.364,0.394899536,0.511,0.445510026,0.783,,,,,,,,,
0.35,2,0.0003,0.3281,0.378412788,0.535,0.443284448,0.8788,,,,,,,,,
