self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.04,30,1,0.5359,0.526739163,0.7072,0.603773585,0.6354,,,,,,,,,
0.05,23,1,0.5174,0.51216443,0.7326,0.602863726,0.6978,,,,,,,,,
0.2,4,1,0.4473,0.470436441,0.8386,0.602745634,0.944,,,,,,,,,
0.04,23,1,0.5435,0.533549283,0.6918,0.602455804,0.6048,,,,,,,,,
0.02,71,0.2418,0.5598,0.549356223,0.6656,0.601917164,0.546,,,,,,,,,
0.01,72,0.2417,0.5597,0.550260987,0.6536,0.597495201,0.5342,,,,,,,,,
0.03,16,1,0.4484,0.47029703,0.817,0.596960397,0.9202,,,,,,,,,
0.06,14,0.9999,0.5242,0.517872969,0.7012,0.595751912,0.6528,,,,,,,,,
0.16,3,1,0.4577,0.47469793,0.7936,0.594056441,0.8782,,,,,,,,,
0.11,17,1,0.4468,0.469120037,0.8082,0.593653592,0.9146,,,,,,,,,
0.05,6,1,0.421,0.456516953,0.8294,0.5888952,0.9874,,,,,,,,,
0.03,43,0.9991,0.5304,0.523735166,0.6708,0.588214662,0.61,,,,,,,,,
0.24,2,1,0.4242,0.457587287,0.8178,0.586825488,0.9694,,,,,,,,,
0.03,6,1,0.4434,0.466572171,0.79,0.586662706,0.9032,,,,,,,,,
0.05,64,0.2415,0.5686,0.563968668,0.6048,0.583671106,0.4676,,,,,,,,,
0.1,28,0.2417,0.5666,0.563744257,0.589,0.576095462,0.4558,,,,,,,,,
0.1,42,1,0.5624,0.559068535,0.5906,0.574401867,0.4658,,,,,,,,,
0.03,19,1,0.4256,0.455808981,0.7674,0.571918319,0.9162,,,,,,,,,
0.02,81,1,0.4559,0.470493778,0.7032,0.56377776,0.7914,,,,,,,,,
0.18,41,1,0.5733,0.577995318,0.5432,0.560057738,0.3966,,,,,,,,,
0.12,30,1,0.5326,0.529337653,0.5882,0.557218643,0.523,,,,,,,,,
0.03,11,1,0.4983,0.49863146,0.6194,0.552493087,0.6228,,,,,,,,,
0.07,6,1,0.4826,0.486693178,0.6364,0.551568729,0.6712,,,,,,,,,
0.25,4,1,0.498,0.49837715,0.6142,0.55025981,0.6182,,,,,,,,,
0.02,40,0.2419,0.483,0.486886763,0.6312,0.549730012,0.6652,,,,,,,,,
0.06,24,1,0.4883,0.490803333,0.6244,0.549599507,0.6478,,,,,,,,,
