self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.28,5,0.3074,0.4243,0.428866754,0.4564,0.442205213,0.6078,,,,,,,,,,
0.1,13,0.2551,0.4496,0.447543714,0.43,0.438596491,0.5308,,,,,,,,,,
0.33,3,0.307,0.5129,0.517773491,0.3758,0.43550817,0.35,,,,,,,,,,
0.12,11,0.257,0.4849,0.481688091,0.3972,0.435383098,0.4274,,,,,,,,,,
0.15,6,0.9676,0.4721,0.467595819,0.4026,0.432670607,0.4584,,,,,,,,,,
0.03,26,0.3081,0.3506,0.381541389,0.4812,0.425614718,0.78,,,,,,,,,,
0.02,22,0.3102,0.3299,0.371661385,0.4926,0.423669046,0.8328,,,,,,,,,,
0.03,17,0.3102,0.3253,0.369412468,0.4942,0.422790658,0.8436,,,,,,,,,,
0.04,32,0.3102,0.4244,0.42382104,0.4206,0.422204377,0.5718,,,,,,,,,,
0.02,20,0.3102,0.3319,0.371816379,0.4876,0.4219088,0.8238,,,,,,,,,,
0.21,4,0.1927,0.3866,0.39882227,0.447,0.421539042,0.6738,,,,,,,,,,
0.07,29,0.3102,0.4287,0.426811743,0.4158,0.421233918,0.5584,,,,,,,,,,
0.07,12,0.3081,0.4423,0.43770244,0.4054,0.420932406,0.5208,,,,,,,,,,
0.01,40,0.3092,0.4188,0.419380461,0.4224,0.420884815,0.5848,,,,,,,,,,
0.02,27,0.3106,0.4379,0.434006376,0.4084,0.420814013,0.5326,,,,,,,,,,
