threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
1.39,0.9142367,0.7603,0.867136812,0.6148,0.719485079,0.0942,,,,,,,,,
1.4,0.9125214,0.7592,0.869230769,0.6102,0.717038778,0.0918,,,,,,,,,
1.41,0.9108062,0.7581,0.869876756,0.607,0.715042997,0.0908,,,,,,,,,
1.42,0.90737563,0.7572,0.871461583,0.6034,0.713070196,0.089,,,,,,,,,
1.43,0.9056604,0.7561,0.872563282,0.5998,0.710916202,0.0876,,,,,,,,,
1.44,0.9039451,0.7547,0.872913616,0.5962,0.708496732,0.0868,,,,,,,,,
1.45,0.9005146,0.7541,0.874889348,0.593,0.706878055,0.0848,,,,,,,,,
1.47,0.8936535,0.7539,0.878165028,0.5896,0.705516334,0.0818,,,,,,,,,
1.46,0.89536875,0.7535,0.876224399,0.5904,0.705460629,0.0834,,,,,,,,,
1.48,0.8885077,0.7519,0.877434822,0.5856,0.702410939,0.0818,,,,,,,,,
1.49,0.8867925,0.7516,0.879144063,0.5834,0.701370522,0.0802,,,,,,,,,
1.5,0.8867925,0.7509,0.880036353,0.581,0.699915673,0.0792,,,,,,,,,
1.51,0.88164663,0.7497,0.880060883,0.5782,0.697887749,0.0788,,,,,,,,,
1.52,0.87821615,0.7487,0.880158973,0.5758,0.696167332,0.0784,,,,,,,,,
1.53,0.87821615,0.7485,0.880318335,0.5752,0.695778396,0.0782,,,,,,,,,
1.54,0.87821615,0.7479,0.880564937,0.5736,0.694683299,0.0778,,,,,,,,,
1.55,0.87821615,0.7477,0.881429011,0.5724,0.694070571,0.077,,,,,,,,,
1.56,0.87821615,0.7474,0.882025942,0.5712,0.693372178,0.0764,,,,,,,,,
1.57,0.87821615,0.747,0.882116337,0.5702,0.692662779,0.0762,,,,,,,,,
1.58,0.87821615,0.7466,0.882207068,0.5692,0.691952346,0.076,,,,,,,,,
1.59,0.8747856,0.7463,0.882572227,0.5682,0.691324979,0.0756,,,,,,,,,
1.6,0.8730703,0.7463,0.883286648,0.5676,0.691099476,0.075,,,,,,,,,
1.61,0.8730703,0.7457,0.883068288,0.5664,0.690142561,0.075,,,,,,,,,
1.62,0.8696398,0.7453,0.88292226,0.5656,0.68950384,0.075,,,,,,,,,
1.63,0.86620927,0.7448,0.882978723,0.5644,0.688628599,0.0748,,,,,,,,,
1.64,0.86620927,0.7442,0.882758621,0.5632,0.687667888,0.0748,,,,,,,,,
1.65,0.8593482,0.7437,0.882574568,0.5622,0.686866219,0.0748,,,,,,,,,
1.66,0.8593482,0.7436,0.883018868,0.5616,0.686552567,0.0744,,,,,,,,,
