threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.243,1,0.5038,0.501909932,0.9986,0.668049237,0.991,,,,,,,,,
0.23,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.231,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.232,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.233,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.234,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.235,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.236,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.237,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.238,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.239,1,0.5011,0.500550937,0.9994,0.667022626,0.9972,,,,,,,,,
0.22,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.221,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.222,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.223,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.224,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.225,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.226,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.227,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.228,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.229,1,0.5005,0.500250225,0.9996,0.66680008,0.9986,,,,,,,,,
0.2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.201,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.202,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.203,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.204,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.205,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.206,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.207,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.208,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.209,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.21,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.211,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.212,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.213,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.214,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.215,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.216,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.217,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.218,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.219,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.38,0.746268657,0.6364,0.615828804,0.7252,0.666054372,0.4524,,,,,,,,,
0.385,0.611940299,0.638,0.618272197,0.7214,0.665866716,0.4454,,,,,,,,,
0.386,0.611940299,0.6381,0.618459427,0.721,0.665804783,0.4448,,,,,,,,,
0.383,0.701492537,0.6372,0.61722488,0.7224,0.665683745,0.448,,,,,,,,,
0.384,0.611940299,0.6377,0.617954429,0.7214,0.665682384,0.446,,,,,,,,,
0.381,0.746268657,0.6361,0.615672276,0.7244,0.665625287,0.4522,,,,,,,,,
0.382,0.746268657,0.6367,0.616658133,0.7226,0.665438807,0.4492,,,,,,,,,
0.388,0.611940299,0.6381,0.618867275,0.719,0.665186419,0.4428,,,,,,,,,
0.389,0.597014925,0.6382,0.619014812,0.7188,0.665186008,0.4424,,,,,,,,,
0.387,0.611940299,0.6378,0.618507052,0.7192,0.665063806,0.4436,,,,,,,,,
0.391,0.597014925,0.6471,0.633460352,0.6982,0.664256493,0.404,,,,,,,,,
0.39,0.597014925,0.6468,0.63306744,0.6984,0.664130848,0.4048,,,,,,,,,
0.392,0.597014925,0.6474,0.634538153,0.6952,0.663485398,0.4004,,,,,,,,,
0.393,0.582089552,0.6474,0.634636463,0.6948,0.663356884,0.4,,,,,,,,,
