threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
1.98,0.6718245,0.7594,0.774207188,0.7324,0.752723535,0.2136,,,,,,,,,
1.99,0.67145354,0.7589,0.774200381,0.731,0.751980249,0.2132,,,,,,,,,
2,0.6699698,0.7589,0.775249841,0.7292,0.751520148,0.2114,,,,,,,,,
2,0.6699698,0.7589,0.775249841,0.7292,0.751520148,0.2114,,,,,,,,,
2.01,0.6695989,0.7591,0.776284922,0.728,0.75136753,0.2098,,,,,,,,,
2.03,0.66859204,0.7592,0.777634961,0.726,0.750930906,0.2076,,,,,,,,,
2.02,0.668645,0.7589,0.77666168,0.7268,0.750904019,0.209,,,,,,,,,
2.04,0.6672142,0.7587,0.778351625,0.7234,0.749870426,0.206,,,,,,,,,
2.05,0.66578346,0.7588,0.779119931,0.7224,0.749688667,0.2048,,,,,,,,,
2.06,0.6655715,0.7588,0.77960242,0.7216,0.749480681,0.204,,,,,,,,,
2.07,0.6613852,0.7578,0.779973936,0.7182,0.747813411,0.2026,,,,,,,,,
2.08,0.65979546,0.7579,0.781120558,0.7166,0.747470533,0.2008,,,,,,,,,
2.1,0.656563,0.7578,0.78304787,0.7132,0.746493615,0.1976,,,,,,,,,
2.09,0.6569339,0.7574,0.781989483,0.7138,0.746340443,0.199,,,,,,,,,
2.11,0.65545017,0.7579,0.784343991,0.7114,0.74609334,0.1956,,,,,,,,,
2.12,0.6526416,0.7568,0.784070796,0.7088,0.744537815,0.1952,,,,,,,,,
2.14,0.6513168,0.7571,0.786494317,0.7058,0.743965426,0.1916,,,,,,,,,
2.13,0.6522707,0.7567,0.785285619,0.7066,0.743867776,0.1932,,,,,,,,,
2.15,0.6496211,0.7562,0.786577181,0.7032,0.742555438,0.1908,,,,,,,,,
2.16,0.64675957,0.7565,0.788008084,0.7018,0.742409817,0.1888,,,,,,,,,
2.17,0.644269,0.7561,0.788726043,0.6996,0.741494436,0.1874,,,,,,,,,
2.18,0.64204335,0.7558,0.78923564,0.698,0.740819359,0.1864,,,,,,,,,
2.19,0.64199036,0.7556,0.789664551,0.6968,0.740331492,0.1856,,,,,,,,,
2.2,0.6404536,0.7552,0.790395995,0.6946,0.739408133,0.1842,,,,,,,,,
2.21,0.63934076,0.7547,0.790952707,0.6924,0.738402474,0.183,,,,,,,,,
2.22,0.63838696,0.7549,0.792115517,0.6912,0.738224928,0.1814,,,,,,,,,
2.23,0.63769805,0.7548,0.79314312,0.6894,0.737641772,0.1798,,,,,,,,,
2.24,0.6375921,0.7545,0.79340558,0.6882,0.737067581,0.1792,,,,,,,,,
2.25,0.63722116,0.7544,0.794444444,0.6864,0.736480687,0.1776,,,,,,,,,
2.27,0.6351015,0.7546,0.796598322,0.6838,0.735901851,0.1746,,,,,,,,,
2.26,0.63647926,0.7541,0.794984908,0.6848,0.735790265,0.1766,,,,,,,,,
2.28,0.6327169,0.7547,0.797894737,0.6822,0.735525606,0.1728,,,,,,,,,
2.29,0.63223994,0.7546,0.798545966,0.681,0.735103627,0.1718,,,,,,,,,
2.3,0.63017327,0.7544,0.79915334,0.6796,0.734543882,0.1708,,,,,,,,,
2.31,0.6292194,0.754,0.799528302,0.678,0.733766234,0.17,,,,,,,,,
2.32,0.6280006,0.754,0.800805306,0.6762,0.733246584,0.1682,,,,,,,,,
2.33,0.6272058,0.7534,0.800807217,0.6746,0.732305688,0.1678,,,,,,,,,
2.34,0.62662286,0.7528,0.801382928,0.6722,0.731128997,0.1666,,,,,,,,,
2.35,0.6245032,0.7527,0.802200431,0.6708,0.730639364,0.1654,,,,,,,,,
2.36,0.62429124,0.7525,0.802830415,0.6694,0.73006871,0.1644,,,,,,,,,
2.37,0.6233904,0.7514,0.802599904,0.6668,0.728424732,0.164,,,,,,,,,
2.38,0.6220126,0.7511,0.803334139,0.665,0.727650728,0.1628,,,,,,,,,
2.39,0.6212177,0.7508,0.80377907,0.6636,0.726993865,0.162,,,,,,,,,
2.4,0.61999893,0.7502,0.80393586,0.6618,0.725976305,0.1614,,,,,,,,,
2.41,0.61915106,0.7497,0.804289544,0.66,0.725035703,0.1606,,,,,,,,,
2.42,0.61634254,0.7496,0.804836346,0.659,0.724653618,0.1598,,,,,,,,,
2.43,0.61628956,0.7494,0.805637255,0.6574,0.724008811,0.1586,,,,,,,,,
2.44,0.6158656,0.7492,0.805691855,0.6568,0.723666814,0.1584,,,,,,,,,
2.45,0.6148588,0.7485,0.805959123,0.6546,0.722436817,0.1576,,,,,,,,,
2.46,0.61279213,0.748,0.806324111,0.6528,0.721485411,0.1568,,,,,,,,,
2.47,0.61252713,0.748,0.807539683,0.6512,0.720992028,0.1552,,,,,,,,,
2.48,0.6121562,0.7476,0.807960199,0.6496,0.720177384,0.1544,,,,,,,,,
2.49,0.6114143,0.7476,0.808574277,0.6488,0.719928984,0.1536,,,,,,,,,
2.5,0.6101425,0.7471,0.808797801,0.6472,0.719031219,0.153,,,,,,,,,
2.51,0.6090827,0.7467,0.809380487,0.6454,0.718148437,0.152,,,,,,,,,
2.52,0.60887074,0.7465,0.810062893,0.644,0.717548747,0.151,,,,,,,,,
2.53,0.607387,0.7461,0.810027715,0.643,0.716913814,0.1508,,,,,,,,,
2.54,0.60691005,0.7457,0.810776625,0.641,0.71596113,0.1496,,,,,,,,,
2.55,0.60653913,0.7455,0.811311184,0.6398,0.715419881,0.1488,,,,,,,,,
2.56,0.6051084,0.7451,0.811911428,0.638,0.714525703,0.1478,,,,,,,,,
